45.91899037361145
         121232705 function calls (108095604 primitive calls) in 60.957 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    1.231    1.231 def_use_mask_test.py:1021(DefUseMaskWithAbstractionsRealisticAnnieSetTest)
   179803    0.072    0.000    1.177    0.000 type.py:85(max_depth_per_type_variable)
        1    0.000    0.000    1.174    1.174 utils.py:76(load_annies_compressed_individual_programs)
      286    0.032    0.000    1.168    0.004 symbol.py:41(create_descoper)
       30    0.003    0.000    1.142    0.038 utils.py:82(<listcomp>)
      752    0.004    0.000    1.140    0.002 abstraction.py:68(of)
      752    0.009    0.000    1.133    0.002 parsed_ast.py:65(parse_s_expression)
   102042    0.222    0.000    1.132    0.000 type_signature.py:296(expansions)
288108/1470    0.165    0.000    1.109    0.001 ast.py:414(visit)
329311/179803    0.773    0.000    1.105    0.000 type.py:73(depth_of_type_variables)
    55900    0.382    0.000    1.085    0.000 handler.py:64(currently_defined_names)
      200    0.023    0.000    1.075    0.005 bigram.py:363(<dictcomp>)
    57675    0.047    0.000    1.068    0.000 handler.py:20(on_child_enter)
      202    0.184    0.001    1.008    0.005 type_signature.py:334(type_universe)
    57675    0.290    0.000    0.994    0.000 handler.py:119(default_handler)
      286    0.008    0.000    0.973    0.003 s_expression_render.py:78(render_s_expression)
        1    0.000    0.000    0.946    0.946 batch_size_finder.py:1(<module>)
        1    0.000    0.000    0.944    0.944 callback.py:1(<module>)
        5    0.000    0.000    0.943    0.189 types.py:1(<module>)
      572    0.003    0.000    0.943    0.002 annotate.py:64(annotate)
    48220    0.043    0.000    0.935    0.000 handler.py:109(on_child_enter)
2408/1144    0.002    0.000    0.905    0.001 group_similar_constructs.py:8(visit_FunctionDef)
  1327741    0.595    0.000    0.885    0.000 production.py:31(symbol)
2346333/1076003    0.524    0.000    0.876    0.000 {built-in method builtins.hash}
2839746/238717    0.809    0.000    0.866    0.000 classify_nodes.py:323(classify_nodes_in_program)
        2    0.000    0.000    0.865    0.432 pit.py:1(<module>)
        1    0.000    0.000    0.864    0.864 checks.py:1(<module>)
        2    0.000    0.000    0.863    0.431 metric.py:1(<module>)
      752    0.002    0.000    0.854    0.001 s_expression_render.py:92(parse_s_expression)
96810/81233    0.390    0.000    0.834    0.000 tree_trie.py:36(query)
  1090470    0.326    0.000    0.813    0.000 mask.py:143(id_to_name)
151192/144299    0.262    0.000    0.760    0.000 tree_trie.py:22(insert)
       42    0.001    0.000    0.731    0.017 utils.py:1(<module>)
        1    0.000    0.000    0.710    0.710 canonicalize_de_bruijn_test.py:1(<module>)
      286    0.003    0.000    0.693    0.002 renderer.py:15(render)
    51021    0.083    0.000    0.690    0.000 type_signature.py:268(signature_expansions)
   248002    0.494    0.000    0.687    0.000 type.py:18(node_summary)
      752    0.003    0.000    0.634    0.001 parser.py:43(parse)
   476062    0.111    0.000    0.602    0.000 copy.py:264(<genexpr>)
329311/179803    0.160    0.000    0.587    0.000 type.py:79(<listcomp>)
87676/286    0.223    0.000    0.578    0.002 parse_python.py:34(python_ast_to_parsed_ast)
 3313/286    0.004    0.000    0.574    0.002 parse_python.py:28(python_body_to_parsed_ast)
 3313/286    0.003    0.000    0.573    0.002 parse_python.py:30(<listcomp>)
     3667    0.026    0.000    0.566    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
        1    0.000    0.000    0.564    0.564 stitch_output_set.py:1(<module>)
        1    0.000    0.000    0.564    0.564 compression_testing_code.py:1(<module>)
   108942    0.042    0.000    0.555    0.000 export_as_dsl.py:234(<genexpr>)
   674083    0.470    0.000    0.548    0.000 type.py:125(__post_init__)
  7604489    0.527    0.000    0.527    0.000 {method 'append' of 'list' objects}
  1768034    0.526    0.000    0.526    0.000 {method 'items' of 'dict' objects}
      286    0.003    0.000    0.512    0.002 ast_utils.py:76(true_globals)
3925/3894    0.007    0.000    0.508    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
        1    0.000    0.000    0.504    0.504 arrow_dataset.py:1(<module>)
        2    0.000    0.000    0.487    0.244 plot.py:1(<module>)
 1204/572    0.003    0.000    0.487    0.001 pull_scope.py:51(visit_function_def)
  1090470    0.360    0.000    0.487    0.000 mask.py:134(id_to_name_and_arity)
      752    0.035    0.000    0.482    0.001 lexer.py:4(lex)
119968/686    0.113    0.000    0.481    0.001 parsed_ast.py:364(to_ns_s_exp)
  1350286    0.268    0.000    0.480    0.000 <frozen abc>:117(__instancecheck__)
        4    0.000    0.000    0.480    0.120 imports.py:1(<module>)
119968/686    0.079    0.000    0.480    0.001 parsed_ast.py:369(<listcomp>)
 7257/686    0.006    0.000    0.478    0.001 parsed_ast.py:342(to_ns_s_exp)
 7257/686    0.005    0.000    0.477    0.001 parsed_ast.py:343(<listcomp>)
  4331994    0.431    0.000    0.473    0.000 {method 'get' of 'dict' objects}
        1    0.001    0.001    0.471    0.471 _meta_registrations.py:1(<module>)
  3549887    0.471    0.000    0.471    0.000 {method 'startswith' of 'str' objects}
5078878/5074674    0.445    0.000    0.469    0.000 {built-in method builtins.len}
    63227    0.171    0.000    0.462    0.000 type_preorder_mask.py:31(on_entry)
447622/286    0.342    0.000    0.461    0.002 renderer.py:51(_to_list)
      308    0.001    0.000    0.458    0.001 banned_component.py:67(check_banned_components)
    57675    0.327    0.000    0.455    0.000 __init__.py:1(defining_statement_handlers)
        1    0.000    0.000    0.454    0.454 near_example_trainer.py:1(<module>)
238031/686    0.267    0.000    0.449    0.001 export_as_dsl.py:270(replace_symbols)
475376/2058    0.089    0.000    0.447    0.000 export_as_dsl.py:273(<genexpr>)
  3104184    0.400    0.000    0.444    0.000 {built-in method builtins.getattr}
   132332    0.354    0.000    0.443    0.000 lexer.py:20(lex_single_token)
    74/63    0.000    0.000    0.438    0.007 __init__.py:108(import_module)
    75/63    0.000    0.000    0.438    0.007 <frozen importlib._bootstrap>:1192(_gcd_import)
8144/1736    0.008    0.000    0.431    0.000 annotator.py:236(visit_all)
       15    0.000    0.000    0.430    0.029 base.py:1(<module>)
  1030407    0.305    0.000    0.426    0.000 <frozen importlib._bootstrap>:405(parent)
  4560036    0.420    0.000    0.420    0.000 bigram.py:363(<lambda>)
 1204/572    0.005    0.000    0.417    0.001 annotator.py:185(visit_function_def)
   719044    0.297    0.000    0.408    0.000 copy.py:243(_keep_alive)
  241/237    0.001    0.000    0.402    0.002 <frozen importlib._bootstrap_external>:1231(create_module)
  241/237    0.396    0.002    0.402    0.002 {built-in method _imp.create_dynamic}
