45.91899037361145
         121232705 function calls (108095604 primitive calls) in 60.957 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 weak.py:1(<module>)
        1    0.000    0.000    0.000    0.000 evaluation_loop.py:48(_EvaluationLoop)
      246    0.000    0.000    0.000    0.000 _utils.py:122(<genexpr>)
      198    0.000    0.000    0.000    0.000 __init__.py:221(_for)
       58    0.000    0.000    0.000    0.000 results.py:442(__iadd__)
        1    0.000    0.000    0.000    0.000 data_connector.py:46(_DataConnector)
        2    0.000    0.000    0.000    0.000 executor.py:1(<module>)
        1    0.000    0.000    0.000    0.000 stash.py:1(<module>)
       38    0.000    0.000    0.000    0.000 warnings.py:181(_add_filter)
        1    0.000    0.000    0.000    0.000 helpers.py:1027(<listcomp>)
        1    0.000    0.000    0.000    0.000 windows.py:1(<module>)
      940    0.000    0.000    0.000    0.000 version.py:319(dev)
        9    0.000    0.000    0.000    0.000 _flag.py:234(_set_default)
        2    0.000    0.000    0.000    0.000 checkpoint.py:1(<module>)
        6    0.000    0.000    0.000    0.000 enum.py:1374(_missing_)
        1    0.000    0.000    0.000    0.000 fcos.py:270(FCOS)
      119    0.000    0.000    0.000    0.000 _dill.py:475(_create_typemap)
        1    0.000    0.000    0.000    0.000 cityscapes.py:12(Cityscapes)
        1    0.000    0.000    0.000    0.000 precision_recall_curve.py:55(BinaryPrecisionRecallCurve)
        1    0.000    0.000    0.000    0.000 download.py:1(<module>)
       50    0.000    0.000    0.000    0.000 _param_validation.py:438(_check_params)
        1    0.000    0.000    0.000    0.000 container.py:408(ModuleDict)
        1    0.000    0.000    0.000    0.000 __init__.py:38(__getattr__)
        1    0.000    0.000    0.000    0.000 offsetbox.py:908(AnchoredOffsetbox)
        1    0.000    0.000    0.000    0.000 transports.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _psposix.py:66(<listcomp>)
        1    0.000    0.000    0.000    0.000 xla.py:30(_XLALauncher)
        1    0.000    0.000    0.000    0.000 pydoc.py:1803(Helper)
       89    0.000    0.000    0.000    0.000 {method 'read' of '_io.StringIO' objects}
        1    0.000    0.000    0.000    0.000 filesystem.py:242(LocalFileSystem)
       58    0.000    0.000    0.000    0.000 _utils.py:779(classproperty)
        1    0.000    0.000    0.000    0.000 base.py:284(IndexOpsMixin)
        1    0.000    0.000    0.000    0.000 call.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _trace.py:566(ignore_lib_warnings)
      897    0.000    0.000    0.000    0.000 version.py:275(release)
        3    0.000    0.000    0.000    0.000 autocast_mode.py:1(<module>)
        1    0.000    0.000    0.000    0.000 upsampling.py:11(Upsample)
        1    0.000    0.000    0.000    0.000 torch_collective.py:19(TorchCollective)
       17    0.000    0.000    0.000    0.000 ctx_iv.py:407(_mpq)
        1    0.000    0.000    0.000    0.000 wavernn.py:1(<module>)
        1    0.000    0.000    0.000    0.000 optimization.py:1(<module>)
       51    0.000    0.000    0.000    0.000 __init__.py:3189(__eq__)
        1    0.000    0.000    0.000    0.000 collections.py:1483(EventCollection)
      213    0.000    0.000    0.000    0.000 ctx_mp_python.py:1014(_wrap_specfun)
        1    0.000    0.000    0.000    0.000 connector.py:195(BaseConnector)
        1    0.000    0.000    0.000    0.000 _pyxlsb.py:1(<module>)
        1    0.000    0.000    0.000    0.000 patches.py:665(Rectangle)
       26    0.000    0.000    0.000    0.000 core.py:921(__init__)
       56    0.000    0.000    0.000    0.000 _param_validation.py:193(<listcomp>)
        2    0.000    0.000    0.000    0.000 double.py:1(<module>)
        5    0.000    0.000    0.000    0.000 locked_shelf.py:61(__init__)
       29    0.000    0.000    0.000    0.000 <frozen _collections_abc>:778(__contains__)
       26    0.000    0.000    0.000    0.000 _decomp_lu.py:14(<listcomp>)
        1    0.000    0.000    0.000    0.000 types.py:129(Optimizable)
        2    0.000    0.000    0.000    0.000 _strptime.py:90(<listcomp>)
        1    0.000    0.000    0.000    0.000 prune.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _hdemucs.py:73(_HEncLayer)
        1    0.000    0.000    0.000    0.000 warnings.py:20(SetuptoolsWarning)
        1    0.000    0.000    0.000    0.000 curve.py:1(<module>)
     1866    0.000    0.000    0.000    0.000 __init__.py:835(<lambda>)
      302    0.000    0.000    0.000    0.000 __init__.py:118(valid)
        6    0.000    0.000    0.000    0.000 patches.py:2244(<listcomp>)
        1    0.000    0.000    0.000    0.000 _interpolate.py:490(__init__)
        1    0.000    0.000    0.000    0.000 _memory_profiler.py:75(TensorKey)
        4    0.000    0.000    0.000    0.000 __init__.py:597(gen_candidates)
       80    0.000    0.000    0.000    0.000 _parser.py:256(getwhile)
      448    0.000    0.000    0.000    0.000 colors.py:338(<genexpr>)
        1    0.000    0.000    0.000    0.000 expressiondomain.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cloudpickle_fast.py:540(CloudPickler)
        5    0.000    0.000    0.000    0.000 functools.py:861(<lambda>)
      298    0.000    0.000    0.000    0.000 inspect.py:505(isbuiltin)
       11    0.000    0.000    0.000    0.000 __init__.py:10(partialclass)
        1    0.000    0.000    0.000    0.000 download_manager.py:254(DownloadManager)
        1    0.000    0.000    0.000    0.000 python.py:950(IdMaker)
        1    0.000    0.000    0.000    0.000 image.py:1420(BboxImage)
      147    0.000    0.000    0.000    0.000 TiffTags.py:26(__new__)
      143    0.000    0.000    0.000    0.000 linecache.py:147(lazycache)
        1    0.000    0.000    0.000    0.000 resnet.py:166(ResNet)
     1229    0.000    0.000    0.000    0.000 {method 'span' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 _vertex.py:1(<module>)
        1    0.000    0.000    0.000    0.000 asgd.py:1(<module>)
        1    0.000    0.000    0.000    0.000 load.py:43(_NotYetLoadedTensor)
        1    0.000    0.000    0.000    0.000 _dok.py:1(<module>)
        1    0.000    0.000    0.000    0.000 series_class.py:1(<module>)
      265    0.000    0.000    0.000    0.000 inspect.py:283(ismodule)
        1    0.000    0.000    0.000    0.000 __init__.py:168(__init__)
        1    0.000    0.000    0.000    0.000 payload_streamer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 gruntz.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _estimator_html_repr.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hashing.py:1(<module>)
      160    0.000    0.000    0.000    0.000 shape_base.py:608(_column_stack_dispatcher)
        1    0.000    0.000    0.000    0.000 celeba.py:1(<module>)
       48    0.000    0.000    0.000    0.000 lapack.py:861(backtickrepl)
        2    0.000    0.000    0.000    0.000 amp.py:29(MixedPrecision)
        2    0.000    0.000    0.000    0.000 _strptime.py:107(__calc_date_time)
       44    0.000    0.000    0.000    0.000 _make.py:1108(add_match_args)
        1    0.000    0.000    0.000    0.000 basic.py:60(Basic)
        1    0.000    0.000    0.000    0.000 helpers.py:129(BasicAuth)
        1    0.000    0.000    0.000    0.000 streamreader.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _nested_sequence.py:1(<module>)
        1    0.000    0.000    0.000    0.000 misc.py:175(Conv3dNormActivation)
        1    0.000    0.000    0.000    0.000 core.py:6550(__new__)
        1    0.000    0.000    0.000    0.000 search.py:95(ElasticSearchIndex)
       18    0.000    0.000    0.000    0.000 artist.py:24(_prevent_rasterization)
        1    0.000    0.000    0.000    0.000 fid.py:1(<module>)
        1    0.000    0.000    0.000    0.000 misc.py:125(Conv2dNormActivation)
       47    0.000    0.000    0.000    0.000 numbers.py:2243(__eq__)
        1    0.000    0.000    0.000    0.000 profiler.py:306(profile)
       23    0.000    0.000    0.000    0.000 <frozen posixpath>:397(abspath)
      330    0.000    0.000    0.000    0.000 _param_validation.py:599(<genexpr>)
       42    0.000    0.000    0.000    0.000 getlimits.py:91(_float_to_float)
        1    0.000    0.000    0.000    0.000 parabola.py:1(<module>)
        2    0.000    0.000    0.000    0.000 rmse_sw.py:1(<module>)
        2    0.000    0.000    0.000    0.000 matthews_corrcoef.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _guards.py:83(Guard)
      103    0.000    0.000    0.000    0.000 iterables.py:3018(iterable)
        1    0.000    0.000    0.000    0.000 bitsandbytes.py:46(BitsandbytesPrecision)
        1    0.000    0.000    0.000    0.000 _recursive.py:354(ConcreteTypeStore)
        1    0.000    0.000    0.000    0.000 precision.py:58(_patch_classes)
      207    0.000    0.000    0.000    0.000 __init__.py:202(_checkLevel)
        1    0.000    0.000    0.000    0.000 _xlrd.py:1(<module>)
        1    0.000    0.000    0.000    0.000 early_stopping.py:37(EarlyStopping)
       52    0.000    0.000    0.000    0.000 singleton.py:106(__getattr__)
        1    0.000    0.000    0.000    0.000 datapipe.py:42(IterDataPipe)
        1    0.000    0.000    0.000    0.000 container.py:250(ModuleList)
        1    0.000    0.000    0.000    0.000 capture.py:196(DontReadFromInput)
        1    0.000    0.000    0.000    0.000 widgets.py:2038(MultiCursor)
        2    0.000    0.000    0.000    0.000 seed.py:1(<module>)
        1    0.000    0.000    0.000    0.000 quesst14.py:1(<module>)
        1    0.000    0.000    0.000    0.000 lr_finder.py:69(_LRFinder)
      848    0.000    0.000    0.000    0.000 conflict.py:67(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:5412(Forward)
        1    0.000    0.000    0.000    0.000 prediction_loop.py:46(_PredictionLoop)
        1    0.000    0.000    0.000    0.000 monkeypatch.py:117(MonkeyPatch)
        1    0.000    0.000    0.000    0.000 optimizer.py:37(LightningOptimizer)
        4    0.000    0.000    0.000    0.000 symbol.py:344(__xnew_cached_)
        3    0.000    0.000    0.000    0.000 pathlib.py:909(home)
        1    0.000    0.000    0.000    0.000 migration.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _tzpath.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _hessian_update_strategy.py:1(<module>)
        1    0.000    0.000    0.000    0.000 symbolic_opset14.py:1(<module>)
       48    0.000    0.000    0.000    0.000 <frozen _collections_abc>:859(__iter__)
        1    0.000    0.000    0.000    0.000 combined_loader.py:28(_ModeIterator)
        1    0.000    0.000    0.000    0.000 __init__.py:331(<listcomp>)
        3    0.000    0.000    0.000    0.000 deprecation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 sasreader.py:1(<module>)
        1    0.000    0.000    0.000    0.000 transforms.py:1174(ColorJitter)
       12    0.000    0.000    0.000    0.000 datetime.py:592(__new__)
     13/4    0.000    0.000    0.000    0.000 functools.py:687(_c3_mro)
        1    0.000    0.000    0.000    0.000 arrow_reader.py:159(BaseReader)
      151    0.000    0.000    0.000    0.000 libintmath.py:353(ifac)
        1    0.000    0.000    0.000    0.000 no_backend.py:1(<module>)
        1    0.000    0.000    0.000    0.000 fileopener.py:1(<module>)
        1    0.000    0.000    0.000    0.000 jit_utils.py:22(GraphContext)
      910    0.000    0.000    0.000    0.000 version.py:330(local)
        3    0.000    0.000    0.000    0.000 _parser.py:997(parse_template)
        1    0.000    0.000    0.000    0.000 _parser.py:58(_timelex)
        2    0.000    0.000    0.000    0.000 mpelements.py:47(__init__)
       48    0.000    0.000    0.000    0.000 symbol.py:254(_sanitize)
        1    0.000    0.000    0.000    0.000 neural_dsl.py:21(NeuralDSL)
      498    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
       22    0.000    0.000    0.000    0.000 _compiler.py:389(_bytes_to_codes)
      162    0.000    0.000    0.000    0.000 rcsetup.py:140(validate_bool)
        1    0.000    0.000    0.000    0.000 _quadrature.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hatch.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctx_iv.py:324(_init_builtins)
        1    0.000    0.000    0.000    0.000 datamodule.py:32(LightningDataModule)
        9    0.000    0.000    0.000    0.000 _argument_parser.py:47(__call__)
        1    0.000    0.000    0.000    0.000 abc.py:60(AbstractMatchInfo)
        1    0.000    0.000    0.000    0.000 patches.py:1512(Ellipse)
       47    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
        1    0.000    0.000    0.000    0.000 rcsetup.py:97(<listcomp>)
       68    0.000    0.000    0.000    0.000 util.py:76(<listcomp>)
        1    0.000    0.000    0.000    0.000 single_xla.py:33(SingleDeviceXLAStrategy)
        1    0.000    0.000    0.000    0.000 orderings.py:1(<module>)
      168    0.000    0.000    0.000    0.000 <frozen os>:818(fsdecode)
        1    0.000    0.000    0.000    0.000 __init__.py:351(_sanity_check)
        1    0.000    0.000    0.000    0.000 ExifTags.py:359(LightSource)
        1    0.000    0.000    0.000    0.000 pytables.py:4829(AppendableMultiFrameTable)
        1    0.000    0.000    0.000    0.000 image.py:45(Image)
        1    0.000    0.000    0.000    0.000 combinatorics.py:17(SamplerIterDataPipe)
        1    0.000    0.000    0.000    0.000 ddp.py:68(DDPStrategy)
        2    0.000    0.000    0.000    0.000 tempfile.py:153(__next__)
      218    0.000    0.000    0.000    0.000 typing.py:1021(<genexpr>)
        1    0.000    0.000    0.000    0.000 oxford_iiit_pet.py:12(OxfordIIITPet)
        1    0.000    0.000    0.000    0.000 _odfreader.py:1(<module>)
      769    0.000    0.000    0.000    0.000 utils.py:45(<genexpr>)
        1    0.000    0.000    0.000    0.000 hole_set_chooser.py:1(<module>)
        1    0.000    0.000    0.000    0.000 structures.py:192(Mark)
      212    0.000    0.000    0.000    0.000 __init__.py:3044(has_version)
       82    0.000    0.000    0.000    0.000 return_types.py:9(pytree_register_structseq)
        3    0.000    0.000    0.000    0.000 _parser.py:52(ParsedRequirement)
        1    0.000    0.000    0.000    0.000 kl.py:818(_add_kl_info)
        8    0.000    0.000    0.000    0.000 logger.py:102(rank_zero_experiment)
        7    0.000    0.000    0.000    0.000 _make.py:831(_patch_original_class)
        1    0.000    0.000    0.000    0.000 ordering.py:8(NodeOrdering)
        1    0.000    0.000    0.000    0.000 python.py:1113(CallSpec2)
        2    0.000    0.000    0.000    0.000 _strptime.py:83(<listcomp>)
      320    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 polyoptions.py:182(_init_dependencies_order)
       20    0.000    0.000    0.000    0.000 base.py:1133(decorator)
        1    0.000    0.000    0.000    0.000 types.py:116(Steppable)
        1    0.000    0.000    0.000    0.000 mps.py:25(MPSAccelerator)
        1    0.000    0.000    0.000    0.000 rnnt_pipeline.py:152(RNNTBundle)
      105    0.000    0.000    0.000    0.000 _docscrape.py:50(read)
        1    0.000    0.000    0.000    0.000 model.py:11(Wav2Vec2Model)
        2    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
       27    0.000    0.000    0.000    0.000 singleton.py:100(register)
        1    0.000    0.000    0.000    0.000 ticker.py:812(LogFormatter)
        1    0.000    0.000    0.000    0.000 metadata.py:1(<module>)
       19    0.000    0.000    0.000    0.000 __init__.py:134(check_shape)
        4    0.000    0.000    0.000    0.000 colors.py:1662(Norm)
        1    0.000    0.000    0.000    0.000 collections.py:1147(PolyCollection)
        1    0.000    0.000    0.000    0.000 vision.py:1(<module>)
        1    0.000    0.000    0.000    0.000 utils.py:79(pl_legacy_patch)
        1    0.000    0.000    0.000    0.000 extract.py:238(Extractor)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1209(_parse_octet)
        1    0.000    0.000    0.000    0.000 realfield.py:45(__init__)
        1    0.000    0.000    0.000    0.000 http_websocket.py:255(WebSocketReader)
        1    0.000    0.000    0.000    0.000 _memory_profiler.py:393(DataFlowNode)
        1    0.000    0.000    0.000    0.000 kitti.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _memory_profiler.py:634(MemoryProfile)
        2    0.000    0.000    0.000    0.000 cosine_similarity.py:1(<module>)
        3    0.000    0.000    0.000    0.000 _defines.py:444(DEFINE_boolean)
        1    0.000    0.000    0.000    0.000 rewrite.py:599(AssertionRewriter)
        1    0.000    0.000    0.000    0.000 legacy.py:1(<module>)
        1    0.000    0.000    0.000    0.000 grad_scaler.py:45(GradScaler)
       53    0.000    0.000    0.000    0.000 <frozen posixpath>:389(normpath)
        8    0.000    0.000    0.000    0.000 _ops.py:497(__call__)
      224    0.000    0.000    0.000    0.000 _config.py:24(_get_threadlocal_config)
        1    0.000    0.000    0.000    0.000 timer.py:41(Timer)
        1    0.000    0.000    0.000    0.000 feather_format.py:1(<module>)
       69    0.000    0.000    0.000    0.000 status_codes.py:122(<genexpr>)
        9    0.000    0.000    0.000    0.000 {function Random.seed at 0x711679df0040}
      159    0.000    0.000    0.000    0.000 traceback.py:389(extended_frame_gen)
        1    0.000    0.000    0.000    0.000 prediction_writer.py:46(BasePredictionWriter)
        1    0.000    0.000    0.000    0.000 ctx_mp.py:96(init_builtins)
        1    0.000    0.000    0.000    0.000 __init__.py:540(get_configdir)
        1    0.000    0.000    0.000    0.000 code.py:1052(ExceptionChainRepr)
        1    0.000    0.000    0.000    0.000 model_summary.py:145(ModelSummary)
        1    0.000    0.000    0.000    0.000 _flag.py:394(EnumClassFlag)
        1    0.000    0.000    0.000    0.000 {built-in method torch._C._dist_autograd_init}
        1    0.000    0.000    0.000    0.000 init.py:26(_EmptyInit)
        7    0.000    0.000    0.000    0.000 __init__.py:1076(__init__)
       15    0.000    0.000    0.000    0.000 _continuous_distns.py:58(_call_super_mom)
        1    0.000    0.000    0.000    0.000 _make.py:2738(<listcomp>)
      848    0.000    0.000    0.000    0.000 {method 'popitem' of 'collections.OrderedDict' objects}
        1    0.000    0.000    0.000    0.000 polyquinticconst.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _multivariate.py:389(__init__)
      166    0.000    0.000    0.000    0.000 colors.py:659(__init__)
        1    0.000    0.000    0.000    0.000 phototour.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:4967(_MultipleMatch)
        1    0.000    0.000    0.000    0.000 interface.py:8(_TextProcessor)
        1    0.000    0.000    0.000    0.000 dotproduct.py:1(<module>)
       36    0.000    0.000    0.000    0.000 feedparser.py:70(close)
        1    0.000    0.000    0.000    0.000 slurm.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _mathtext_data.py:1(<module>)
        1    0.000    0.000    0.000    0.000 vision_transformer.py:160(VisionTransformer)
        2    0.000    0.000    0.000    0.000 dropout.py:1(<module>)
      446    0.000    0.000    0.000    0.000 utils.py:45(name_of_alias)
       12    0.000    0.000    0.000    0.000 weakref.py:104(__init__)
        9    0.000    0.000    0.000    0.000 _helpers.py:111(get_calling_module_object_and_name)
        1    0.000    0.000    0.000    0.000 image.py:1357(FigureImage)
        1    0.000    0.000    0.000    0.000 wishart.py:1(<module>)
       58    0.000    0.000    0.000    0.000 _param_validation.py:389(__init__)
        1    0.000    0.000    0.000    0.000 mock_download_manager.py:33(MockDownloadManager)
        2    0.000    0.000    0.000    0.000 ranking.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mathematica.py:1(<module>)
        1    0.000    0.000    0.000    0.000 patches.py:2634(ConnectionStyle)
      204    0.000    0.000    0.000    0.000 __init__.py:99(section_pairs)
        3    0.000    0.000    0.000    0.000 log.py:1(<module>)
        1    0.000    0.000    0.000    0.000 filesystem.py:315(DaskFileSystem)
        1    0.000    0.000    0.000    0.000 numpy_pickle_compat.py:1(<module>)
        6    0.000    0.000    0.000    0.000 categorical.py:119(_cat_compare_op)
        1    0.000    0.000    0.000    0.000 _pslinux.py:584(cpu_times)
        1    0.000    0.000    0.000    0.000 types.py:75(LRScheduler)
        1    0.000    0.000    0.000    0.000 widgets.py:3846(PolygonSelector)
      209    0.000    0.000    0.000    0.000 __init__.py:597(<genexpr>)
        7    0.000    0.000    0.000    0.000 functools.py:800(singledispatch)
      628    0.000    0.000    0.000    0.000 _pytree.py:121(<listcomp>)
       78    0.000    0.000    0.000    0.000 util.py:113(set_)
        1    0.000    0.000    0.000    0.000 find_file_dependencies.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dice.py:31(Dice)
        1    0.000    0.000    0.000    0.000 polar.py:803(PolarAxes)
        1    0.000    0.000    0.000    0.000 lsun.py:1(<module>)
        4    0.000    0.000    0.000    0.000 _structures.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _multivariate.py:4930(__init__)
        1    0.000    0.000    0.000    0.000 metaestimators.py:1(<module>)
        1    0.000    0.000    0.000    0.000 parameter.py:1(<module>)
        2    0.000    0.000    0.000    0.000 half.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ssltransport.py:1(<module>)
       18    0.000    0.000    0.000    0.000 core.py:997(__init__)
       10    0.000    0.000    0.000    0.000 functools.py:651(cache)
        1    0.000    0.000    0.000    0.000 preorder_mask.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _memory_profiler.py:593(CategoryElement)
        2    0.000    0.000    0.000    0.000 _strptime.py:91(<listcomp>)
        1    0.000    0.000    0.000    0.000 conv_tasnet.py:11(ConvBlock)
        1    0.000    0.000    0.000    0.000 python.py:1679(Function)
        1    0.000    0.000    0.000    0.000 nodes.py:667(Item)
        1    0.000    0.000    0.000    0.000 locks.py:439(_BarrierState)
        1    0.000    0.000    0.000    0.000 __init__.py:234(<listcomp>)
        2    0.000    0.000    0.000    0.000 sdr.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:3306(_initialize)
        1    0.000    0.000    0.000    0.000 rootisolation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ellipse.py:37(<listcomp>)
        1    0.000    0.000    0.000    0.000 doctest.py:252(DoctestItem)
      244    0.000    0.000    0.000    0.000 _make.py:1246(decide_callable_or_boolean)
        1    0.000    0.000    0.000    0.000 unicode.py:99(identbodychars)
      222    0.000    0.000    0.000    0.000 transforms.py:1332(<genexpr>)
        1    0.000    0.000    0.000    0.000 lfw.py:176(LFWPairs)
        1    0.000    0.000    0.000    0.000 _tracing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 period.py:117(PeriodArray)
      845    0.000    0.000    0.000    0.000 _param_validation.py:257(__init__)
      314    0.000    0.000    0.000    0.000 __init__.py:769(__iter__)
        1    0.000    0.000    0.000    0.000 shelve.py:1(<module>)
        1    0.000    0.000    0.000    0.000 anchor_utils.py:136(DefaultBoxGenerator)
        1    0.000    0.000    0.000    0.000 add.py:89(Add)
        2    0.000    0.000    0.000    0.000 conv_relu.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mpelements.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _quad_vec.py:1(<module>)
        1    0.000    0.000    0.000    0.000 repmatrix.py:1(<module>)
        3    0.000    0.000    0.000    0.000 hooks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 places365.py:1(<module>)
        1    0.000    0.000    0.000    0.000 wrapper.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
       51    0.000    0.000    0.000    0.000 nvfuser_prims.py:144(_assert_nvfuser_op_exists)
        1    0.000    0.000    0.000    0.000 futures.py:1(<module>)
        1    0.000    0.000    0.000    0.000 yesno.py:21(YESNO)
        1    0.000    0.000    0.000    0.000 load.py:606(LocalDatasetModuleFactoryWithoutScript)
        1    0.000    0.000    0.000    0.000 iterable_dataset.py:791(IterableDataset)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 unicode.py:85(identchars)
        2    0.000    0.000    0.000    0.000 printing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _bsr.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ssim.py:30(StructuralSimilarityIndexMeasure)
        1    0.000    0.000    0.000    0.000 _dataclass_impls.py:1(<module>)
        1    0.000    0.000    0.000    0.000 http_websocket.py:51(WSMsgType)
        1    0.000    0.000    0.000    0.000 representer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 profiler.py:47(_KinetoProfile)
        1    0.000    0.000    0.000    0.000 immutable_collections.py:1(<module>)
        1    0.000    0.000    0.000    0.000 common.py:2531(MatrixArithmetic)
        2    0.000    0.000    0.000    0.000 _shape.py:1(<module>)
        7    0.000    0.000    0.000    0.000 __init__.py:72(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
        1    0.000    0.000    0.000    0.000 conformer.py:1(<module>)
       10    0.000    0.000    0.000    0.000 precision.py:47(_create_class)
        9    0.000    0.000    0.000    0.000 deprecation_utils.py:22(decorator)
       28    0.000    0.000    0.000    0.000 rcsetup.py:52(__init__)
        1    0.000    0.000    0.000    0.000 fold.py:1(<module>)
        1    0.000    0.000    0.000    0.000 reports.py:243(TestReport)
        1    0.000    0.000    0.000    0.000 multiprocessing.py:39(_MultiProcessingLauncher)
      746    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
        1    0.000    0.000    0.000    0.000 doc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:559(get_cachedir)
      138    0.000    0.000    0.000    0.000 _parser.py:295(checkgroupname)
       12    0.000    0.000    0.000    0.000 doccer.py:136(_doc)
        1    0.000    0.000    0.000    0.000 caltech.py:1(<module>)
       15    0.000    0.000    0.000    0.000 _bunch.py:5(_validate_names)
        1    0.000    0.000    0.000    0.000 image.py:1204(PcolorImage)
        1    0.000    0.000    0.000    0.000 classwise.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _rules.py:382(_POERules)
        8    0.000    0.000    0.000    0.000 nanops.py:75(__call__)
      258    0.000    0.000    0.000    0.000 dispatcher.py:204(<genexpr>)
        1    0.000    0.000    0.000    0.000 _store_backends.py:144(StoreBackendMixin)
        1    0.000    0.000    0.000    0.000 torch_formatter.py:1(<module>)
      165    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 netrc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c10d_error_logger.py:17(_get_or_create_logger)
        1    0.000    0.000    0.000    0.000 patches.py:1070(Polygon)
        1    0.000    0.000    0.000    0.000 gzip.py:1(<module>)
       84    0.000    0.000    0.000    0.000 typing.py:2402(get_origin)
        3    0.000    0.000    0.000    0.000 __version__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 abc.py:141(AbstractCookieJar)
        1    0.000    0.000    0.000    0.000 code.py:1089(ReprTraceback)
        1    0.000    0.000    0.000    0.000 collections.py:1686(EllipseCollection)
        1    0.000    0.000    0.000    0.000 constants.py:31(_SendfileMode)
        1    0.000    0.000    0.000    0.000 patches.py:1486(CirclePolygon)
        1    0.000    0.000    0.000    0.000 capture.py:603(MultiCapture)
        8    0.000    0.000    0.000    0.000 functools.py:188(total_ordering)
        1    0.000    0.000    0.000    0.000 appdirs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dsl_test.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tracing.py:48(TraceConfig)
        1    0.000    0.000    0.000    0.000 _interpolate.py:109(interp2d)
        1    0.000    0.000    0.000    0.000 progress_bar.py:23(ProgressBar)
        1    0.000    0.000    0.000    0.000 voc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 structures.py:561(NodeKeywords)
        1    0.000    0.000    0.000    0.000 __init__.py:79(Timeout)
      216    0.000    0.000    0.000    0.000 typing.py:1399(<genexpr>)
        2    0.000    0.000    0.000    0.000 tweedie_deviance.py:1(<module>)
      476    0.000    0.000    0.000    0.000 <frozen abc>:7(abstractmethod)
        1    0.000    0.000    0.000    0.000 fetchers.py:145(_DataLoaderIterDataFetcher)
       50    0.000    0.000    0.000    0.000 warnings.py:466(__enter__)
        1    0.000    0.000    0.000    0.000 conv.py:156(Conv2d)
        1    0.000    0.000    0.000    0.000 mlflow.py:47(MLFlowLogger)
      144    0.000    0.000    0.000    0.000 _decorators.py:477(__init__)
        1    0.000    0.000    0.000    0.000 offsetbox.py:1101(AnchoredText)
        1    0.000    0.000    0.000    0.000 _flag.py:505(MultiEnumClassFlag)
        1    0.000    0.000    0.000    0.000 _norm.py:1(<module>)
